"","feature","frequency"
"9267","joyce",3
"9268","hd",3
"9269","harpo",3
"9270","waiter",3
"9271","captive",3
"9272","reverend",3
"9273","whitaker",3
"9274","advances",3
"9275","rolfe",3
"9276","rebecca",3
"9277","strikers",3
"9278","refusal",3
"9279","domain",3
"9280","panelists",3
"9281","varying",3
"9282","reservation",3
"9283","gaming",3
"9284","on-line",3
"9285","ke",3
"9286","makers",3
"9287","paired",3
"9288","pains",3
"9289","spectacles",3
"9290","stroll",3
"9291","barcelona",3
"9292","freezer",3
"9293","canning",3
"9294","fortunes",3
"9295","renee",3
"9296","fierce",3
"9297","outraged",3
"9298","trumps",3
"9299","kayaking",3
"9300","shred",3
"9301","workspace",3
"9302","pumped",3
"9303","backing",3
"9304","accomplishment",3
"9305","indonesia",3
"9306","quake",3
"9307","comforting",3
"9308","warmth",3
"9309","ida",3
"9310","truths",3
"9311","meteorological",3
"9312","peer",3
"9313","risky",3
"9314","like-minded",3
"9315","orchids",3
"9316","ptsd",3
"9317","gorge",3
"9318","segments",3
"9319","conservatism",3
"9320","submitting",3
"9321","intelligent",3
"9322","utopia",3
"9323","ipo",3
"9324","aires",3
"9325","drown",3
"9326","grandchildren",3
"9327","joker",3
"9328","medium-sized",3
"9329","default",3
"9330","bock",3
"9331","converting",3
"9332","co2",3
"9333","observe",3
"9334","crabs",3
"9335","macro",3
"9336","manson",3
"9337","identifying",3
"9338","quarters",3
"9339","mills",3
"9340","pleasing",3
"9341","programming",3
"9342","replacing",3
"9343","cupboards",3
"9344","classics",3
"9345","odyssey",3
"9346","belmont",3
"9347","campsite",3
"9348","bradley's",3
"9349","appointees",3
"9350","senators",3
"9351","recess",3
"9352","psi",3
"9353","disciples",3
"9354","encounters",3
"9355","discusses",3
"9356","pretending",3
"9357","incidence",3
"9358","dial",3
"9359","spoiled",3
"9360","priming",3
"9361","mound",3
"9362","uploaded",3
"9363","kates",3
"9364","explode",3
"9365","baron",3
"9366","col",3
"9367","translate",3
"9368","classmates",3
"9369","insulting",3
"9370","afforded",3
"9371","prosperity",3
"9372","grime",3
"9373","scandals",3
"9374","marketed",3
"9375","gifted",3
"9376","thwart",3
"9377","jacksonville",3
"9378","backpack",3
"9379","oceans",3
"9380","badge",3
"9381","immigrant",3
"9382","paws",3
"9383","shaw",3
"9384","autograph",3
"9385","foo",3
"9386","watt",3
"9387","organize",3
"9388","storing",3
"9389","outfit",3
"9390","header",3
"9391","surgeon",3
"9392","unassimilable",3
"9393","hostile",3
"9394","designated",3
"9395","saffron",3
"9396","destruction",3
"9397","excellence",3
"9398","benjamin",3
"9399","litany",3
"9400","locate",3
"9401","karaoke",3
"9402","emotionally",3
"9403","unconscious",3
"9404","loudly",3
"9405","muddy",3
"9406","wander",3
"9407","glee",3
"9408","personalized",3
"9409","cloves",3
"9410","smelled",3
"9411","periodically",3
"9412","mortar",3
"9413","tsunami",3
"9414","starlet",3
"9415","clicker",3
"9416","instructor",3
"9417","conquered",3
"9418","fills",3
"9419","yahoo",3
"9420","qualifies",3
"9421","diagnosis",3
"9422","sprigs",3
"9423","roasting",3
"9424","punched",3
"9425","retreat",3
"9426","reunion",3
"9427","birthdays",3
"9428","deduction",3
"9429","caution",3
"9430","sweetheart",3
"9431","divisions",3
"9432","merkel",3
"9433","tyson",3
"9434","convert",3
"9435","oblivion",3
"9436","rugby",3
"9437","noteworthy",3
"9438","reserving",3
"9439","carriers",3
"9440","interchangeable",3
"9441","theirs",3
"9442","overlook",3
"9443","joshua",3
"9444","alligator",3
"9445","array",3
"9446","di",3
"9447","medals",3
"9448","whirlwind",3
"9449","lager",3
"9450","harper",3
"9451","corpse",3
"9452","diligence",3
"9453","falcone",3
"9454","waiver",3
"9455","relation",3
"9456","conservatives",3
"9457","tame",3
"9458","cavaliers",3
"9459","complains",3
"9460","hyper",3
"9461","criticize",3
"9462","ancestors",3
"9463","liters",3
"9464","hailed",3
"9465","chemicals",3
"9466","feast",3
"9467","organ",3
"9468","connecting",3
"9469","peterson",3
"9470","kramer",3
"9471","depths",3
"9472","cranberries",3
"9473","apa",3
"9474","plague",3
"9475","bacterial",3
"9476","infection",3
"9477","captives",3
"9478","slash",3
"9479","loaves",3
"9480","correction",3
"9481","bf",3
"9482","adventurous",3
"9483","safest",3
"9484","glamorous",3
"9485","skipper",3
"9486","absent",3
"9487","bearings",3
"9488","stared",3
"9489","definite",3
"9490","ppv",3
"9491","alma",3
"9492","sheep",3
"9493","cows",3
"9494","debates",3
"9495","occupational",3
"9496","two-game",3
"9497","emphasized",3
"9498","skies",3
"9499","publish",3
"9500","magdalene",3
"9501","stating",3
"9502","else’s",3
"9503","braised",3
"9504","standouts",3
"9505","practiced",3
"9506","massacre",3
"9507","vietnam",3
"9508","jasms",3
"9509","flourishes",3
"9510","ricky",3
"9511","towels",3
"9512","philippines",3
"9513","tremendous",3
"9514","flooding",3
"9515","born-again-virgin",3
"9516","proclaiming",3
"9517","trough",3
"9518","vices",3
"9519","craps",3
"9520","joints",3
"9521","digress",3
"9522","gaining",3
"9523","conflicting",3
"9524","ahmad",3
"9525","hog",3
"9526","squealing",3
"9527","enrollment",3
"9528","geographic",3
"9529","wi-fi",3
"9530","plugged",3
"9531","comma",3
"9532","testament",3
"9533","lenny",3
"9534","barb",3
"9535","2pm",3
"9536","kuala",3
"9537","obtained",3
"9538","razor",3
"9539","cirque",3
"9540","managerial",3
"9541","grease",3
"9542","thrive",3
"9543","intellect",3
"9544","agnes",3
"9545","knot",3
"9546","burglary",3
"9547","clarity",3
"9548","ruth",3
"9549","skeptical",3
"9550","top-selling",3
"9551","sacred",3
"9552","protected",3
"9553","afar",3
"9554","artwork",3
"9555","counselor",3
"9556","timetable",3
"9557","copyright",3
"9558","sodas",3
"9559","slab",3
"9560","threaten",3
"9561","scenic",3
"9562","magnitude",3
"9563","fertility",3
"9564","nutrients",3
"9565","ecosystem",3
"9566","chester",3
"9567","staircase",3
"9568","bamboo",3
"9569","fedora",3
"9570","cognitive",3
"9571","echo",3
"9572","joyful",3
"9573","pilots",3
"9574","sunscreen",3
"9575","itinerary",3
"9576","cardiologist",3
"9577","meditation",3
"9578","tension",3
"9579","con",3
"9580","benedict",3
"9581","shield",3
"9582","intersections",3
"9583","usage",3
"9584","neal",3
"9585","reprise",3
"9586","supervising",3
"9587","colleague",3
"9588","branding",3
"9589","month's",3
"9590","opted",3
"9591","iv",3
"9592","buddies",3
"9593","autism",3
"9594","adapt",3
"9595","exploration",3
"9596","telltale",3
"9597","unhealthy",3
"9598","feminist",3
"9599","geared",3
"9600","avenues",3
"9601","loanjumbo",3
"9602","cheesy",3
"9603","entertain",3
"9604","voicemail",3
"9605","communicate",3
"9606","brit",3
"9607","sexuality",3
"9608","manipulative",3
"9609","willingly",3
"9610","endured",3
"9611","powerhouse",3
"9612","student's",3
"9613","miller's",3
"9614","spur",3
"9615","shocked",3
"9616","hands-on",3
"9617","thor",3
"9618","chancellor",3
"9619","gestures",3
"9620","fearful",3
"9621","cleanse",3
"9622","welsh",3
"9623","minded",3
"9624","abducted",3
"9625","compensate",3
"9626","kaiser",3
"9627","kite",3
"9628","opportunistic",3
"9629","casual",3
"9630","soak",3
"9631","cnn",3
"9632","muni",3
"9633","waitress",3
"9634","piss",3
"9635","oversized",3
"9636","dddb",3
"9637","whisper",3
"9638","rugged",3
"9639","wrenching",3
"9640","guarantee",3
"9641","dwelling",3
"9642","refusing",3
"9643","tolerance",3
"9644","keg",3
"9645","obstacles",3
"9646","juliet",3
"9647","chemistry",3
"9648","corny",3
"9649","sunk",3
"9650","declining",3
"9651","output",3
"9652","snail",3
"9653","travelling",3
"9654","fiery",3
"9655","sanctioned",3
"9656","enthusiasts",3
"9657","neutrons",3
"9658","murdered",3
"9659","minimalist",3
"9660","dissent",3
"9661","congregation",3
"9662","catastrophic",3
"9663","wiped",3
"9664","millionaire",3
"9665","sub",3
"9666","complementary",3
"9667","selfish",3
"9668","chavez",3
"9669","lloyd",3
"9670","eras",3
"9671","saucepan",3
"9672","clemens",3
"9673","jeter",3
"9674","historians",3
"9675","costco",3
"9676","reversal",3
"9677","ubaldo",3
"9678","splash",3
"9679","revert",3
"9680","spontaneous",3
"9681","lodge",3
"9682","kool-aid",3
"9683","brazil",3
"9684","stretched",3
"9685","jaime",3
"9686","face-to-face",3
"9687","dammit",3
"9688","wiser",3
"9689","geoffrey",3
"9690","stale",3
"9691","curve",3
"9692","diligently",3
"9693","illegally",3
"9694","belgium",3
"9695","locke",3
"9696","uploading",3
"9697","conquer",3
"9698","crush",3
"9699","pudding",3
"9700","powdered",3
"9701","professors",3
"9702","expertise",3
"9703","academia",3
"9704","expenditure",3
"9705","exceeding",3
"9706","slightest",3
"9707","trait",3
"9708","supporter",3
"9709","dumps",3
"9710","queries",3
"9711","martyn",3
"9712","drains",3
"9713","cheeseburger",3
"9714","merits",3
"9715","cuisine",3
"9716","fined",3
"9717","lowers",3
"9718","rex",3
"9719","britten",3
"9720","backlash",3
"9721","4am",3
"9722","feminism",3
"9723","fantastically",3
"9724","ipa",3
"9725","mumbai",3
"9726","sandoval",3
"9727","attic",3
"9728","alcide",3
"9729","week’s",3
"9730","intimidate",3
"9731","inverter",3
"9732","alloy",3
"9733","voltage",3
"9734","refuses",3
"9735","agricultural",3
"9736","hedge",3
"9737","dipping",3
"9738","arthritis",3
"9739","flows",3
"9740","beaten",3
"9741","disgust",3
"9742","latte",3
"9743","cliff",3
"9744","mother-in-law",3
"9745","norton",3
"9746","wii",3
"9747","outlook",3
"9748","hash",3
"9749","raisin",3
"9750","butterfly",3
"9751","decorate",3
"9752","purity",3
"9753","growling",3
"9754","clocks",3
"9755","counseling",3
"9756","shutting",3
"9757","coin",3
"9758","whiff",3
"9759","gentlemen",3
"9760","contributor",3
"9761","someone’s",3
"9762","woodley",3
"9763","descendants",3
"9764","phenomenal",3
"9765","negotiate",3
"9766","doug",3
"9767","katie",3
"9768","dominate",3
"9769","grabbing",3
"9770","grilling",3
"9771","heating",3
"9772","debated",3
"9773","extinguisher",3
"9774","botanical",3
"9775","inventive",3
"9776","denise",3
"9777","carnegie",3
"9778","grad",3
"9779","stew",3
"9780","bun",3
"9781","reconnect",3
"9782","photographed",3
"9783","psychic",3
"9784","search-and-rescue",3
"9785","midtown",3
"9786","e-mails",3
"9787","destined",3
"9788","rey",3
"9789","homeownership",3
"9790","exercises",3
"9791","reminding",3
"9792","rel",3
"9793","vi",3
"9794","capture",3
"9795","minions",3
"9796","fog",3
"9797","#4",3
"9798","spiced",3
"9799","detained",3
"9800","nightmare",3
"9801","releasing",3
"9802","sneaky",3
"9803","lover",3
"9804","skim",3
"9805","dvr",3
"9806","endure",3
"9807","pig",3
"9808","annoy",3
"9809","bordeaux",3
"9810","harassment",3
"9811","son's",3
"9812","cocky",3
"9813","tended",3
"9814","stella",3
"9815","stab",3
"9816","rosary",3
"9817","speechless",3
"9818","listens",3
"9819","umbrella",3
"9820","stance",3
"9821","christine",3
"9822","verge",3
"9823","meltdown",3
"9824","attends",3
"9825","acropolis",3
"9826","marble",3
"9827","majestic",3
"9828","deceive",3
"9829","wed",3
"9830","compares",3
"9831","clown",3
"9832","freedoms",3
"9833","salted",3
"9834","missile",3
"9835","carrots",3
"9836","denmark",3
"9837","stunned",3
"9838","wa",3
"9839","platter",3
"9840","debris",3
"9841","gregory",3
"9842","phd",3
"9843","concluded",3
"9844","representation",3
"9845","mounted",3
"9846","lingering",3
"9847","ponder",3
"9848","easel",3
"9849","trench",3
"9850","sxsw",3
"9851","bucket",3
"9852","wellness",3
"9853","affiliation",3
"9854","staple",3
"9855","unused",3
"9856","sunglasses",3
"9857","vita",3
"9858","yikes",3
"9859","trance",3
"9860","idiots",3
"9861","alas",3
"9862","symbolic",3
"9863","jude",3
"9864","triangle",3
"9865","scanning",3
"9866","modern-day",3
"9867","hurtful",3
"9868","repetitive",3
"9869","imply",3
"9870","guy's",3
"9871","tor",3
"9872","lebanon",3
"9873","terrorism",3
"9874","waltz",3
"9875","thighs",3
"9876","tummy",3
"9877","glaze",3
"9878","parenting",3
"9879","soldier",3
"9880","forgetting",3
"9881","skepticism",3
"9882","incentive",3
"9883","lit",3
"9884","editorial",3
"9885","deptford",3
"9886","rundown",3
"9887","neon",3
"9888","seasonal",3
"9889","herman",3
"9890","ma",3
"9891","qualifier",3
"9892","natalie",3
"9893","kat",3
"9894","disagreement",3
"9895","fells",3
"9896","convo",3
"9897","legos",3
"9898","crammed",3
"9899","contamination",3
"9900","rapid",3
"9901","lovecraft’s",3
"9902","maximize",3
"9903","squirrel",3
"9904","overdue",3
"9905","driveway",3
"9906","cleanser",3
"9907","spelled",3
"9908","chiang",3
"9909","flowed",3
"9910","tuesdays",3
"9911","22nd",3
"9912","semester",3
"9913","partying",3
"9914","poking",3
"9915","relativism",3
"9916","preached",3
"9917","suzanne",3
"9918","streep",3
"9919","real-life",3
"9920","schedules",3
"9921","ali",3
"9922","courthouse",3
"9923","bam",3
"9924","newfound",3
"9925","sheila",3
"9926","humphries",3
"9927","squeezed",3
"9928","maya",3
"9929","transparency",3
"9930","accomplishments",3
"9931","crawling",3
"9932","finer",3
"9933","quits",3
"9934","rapids",3
"9935","enterprises",3
"9936","truancy",3
"9937","boardwalk",3
"9938","africans",3
"9939","bronze",3
"9940","focal",3
"9941","prof",3
"9942","dotted",3
"9943","safer",3
"9944","sweating",3
"9945","misconduct",3
"9946","bart",3
"9947","ants",3
"9948","dread",3
"9949","laps",3
"9950","developments",3
"9951","unrealistic",3
"9952","peed",3
"9953","seo",3
"9954","depart",3
"9955","inability",3
"9956","depressing",3
"9957","matching",3
"9958","pressed",3
"9959","suitcase",3
"9960","marley",3
"9961","misery",3
"9962","dodge",3
"9963","paso",3
"9964","beginnings",3
"9965","shortages",3
"9966","onward",3
"9967","fda",3
"9968","gatherings",3
"9969","00pm",3
"9970","parsec",3
"9971","finalists",3
"9972","producers",3
"9973","hickman",3
"9974","oncoming",3
"9975","nearing",3
"9976","disasters",3
"9977","leaf",3
"9978","zac",3
"9979","definitions",3
"9980","hopeful",3
"9981","voluntary",3
"9982","administration’s",3
"9983","ddr4",3
"9984","timings",3
"9985","mit",3
"9986","anthony's",3
"9987","medicines",3
"9988","fever",3
"9989","ukraine",3
"9990","mohamed",3
"9991","cop",3
"9992","gcal",3
"9993","gatorade",3
"9994","fred",3
"9995","crushed",3
"9996","bait",3
"9997","electing",3
"9998","melon",3
"9999","ged",3
"10000","moines",3
"10001","blueberries",3
"10002","peanuts",3
"10003","jed",3
"10004","specifics",3
"10005","auditorium",3
"10006","adultery",3
"10007","ro",3
"10008","blurred",3
"10009","motive",3
"10010","ironic",3
"10011","fraction",3
"10012","preheat",3
"10013","sweetened",3
"10014","day-to-day",3
"10015","hooker",3
"10016","veronica",3
"10017","baskets",3
"10018","grub",3
"10019","opt",3
"10020","shes",3
"10021","tallest",3
"10022","trades",3
"10023","owes",3
"10024","drift",3
"10025","rhetoric",3
"10026","cutter",3
"10027","fumbled",3
"10028","festivities",3
"10029","cozumel",3
"10030","cedar",3
"10031","staffers",3
"10032","fulton",3
"10033","outreach",3
"10034","a's",3
"10035","anniversaries",3
"10036","panthers",3
"10037","quarterfinals",3
"10038","gymnasts",3
"10039","gators",3
"10040","seau",3
"10041","interpretive",3
"10042","lantern",3
"10043","congo",3
"10044","arundel",3
"10045","system's",3
"10046","6-3",3
"10047","athleticism",3
"10048","pastry",3
"10049","productions",3
"10050","hamid",3
"10051","terrell",3
"10052","oc",3
"10053","rouse",3
"10054","fend",3
"10055","intolerant",3
"10056","groundbreaking",3
"10057","regulate",3
"10058","grammy",3
"10059","columns",3
"10060","mavericks",3
"10061","vince",3
"10062","cunningham",3
"10063","pothole",3
"10064","prescriptions",3
"10065","stocked",3
"10066","resolve",3
"10067","deeds",3
"10068","lockout",3
"10069","attacking",3
"10070","mason",3
"10071","springfield",3
"10072","17-year-old",3
"10073","nasa",3
"10074","permitting",3
"10075","candidacy",3
"10076","quintana",3
"10077","protective",3
"10078","eloquently",3
"10079","salaries",3
"10080","oaks",3
"10081","rehab",3
"10082","dillon",3
"10083","steele",3
"10084","determines",3
"10085","revenues",3
"10086","profits",3
"10087","jpmorgan",3
"10088","contested",3
"10089","two-time",3
"10090","premiere",3
"10091","rhp",3
"10092","lamented",3
"10093","strengthen",3
"10094","graphics",3
"10095","activism",3
"10096","budgets",3
"10097","degeneration",3
"10098","injection",3
"10099","irizarry",3
"10100","driver's",3
"10101","mujica",3
"10102","baqai",3
"10103","sun-times",3
"10104","turner",3
"10105","nyu",3
"10106","morristown",3
"10107","scratching",3
"10108","reprehensible",3
"10109","exited",3
"10110","anticipating",3
"10111","mandel",3
"10112","thompson's",3
"10113","sacks",3
"10114","nominee",3
"10115","tsa",3
"10116","embarrassing",3
"10117","speedy",3
"10118","neuen",3
"10119","companions",3
"10120","destinations",3
"10121","5k",3
"10122","booths",3
"10123","enrolled",3
"10124","salvatore",3
"10125","u's",3
"10126","city’s",3
"10127","fueled",3
"10128","grim",3
"10129","tucson",3
"10130","shapiro",3
"10131","impose",3
"10132","earnhardt",3
"10133","rounded",3
"10134","lois",3
"10135","annuities",3
"10136","wickenburg",3
"10137","hammered",3
"10138","abroad",3
"10139","wireless",3
"10140","segment",3
"10141","hybrid",3
"10142","apple's",3
"10143","demonstrators",3
"10144","superstition",3
"10145","30-year-old",3
"10146","samuel",3
"10147","concentrating",3
"10148","finishes",3
"10149","titanium",3
"10150","enduring",3
"10151","negotiating",3
"10152","contraband",3
"10153","pals",3
"10154","two-day",3
"10155","chen's",3
"10156","hyatt",3
"10157","referendum",3
"10158","nurses",3
"10159","separately",3
"10160","qualifications",3
"10161","shootings",3
"10162","baseball's",3
"10163","flacco",3
"10164","randolph",3
"10165","rudy",3
"10166","formerly",3
"10167","database",3
"10168","underwent",3
"10169","grading",3
"10170","administrators",3
"10171","median",3
"10172","census",3
"10173","chloe",3
"10174","prosciutto",3
"10175","bcs",3
"10176","anchors",3
"10177","slumped",3
"10178","tallied",3
"10179","vaca",3
"10180","oakville",3
"10181","adidas",3
"10182","alarmed",3
"10183","wasted",3
"10184","hearings",3
"10185","flipping",3
"10186","comcast",3
"10187","avon",3
"10188","macaroni",3
"10189","freshmen",3
"10190","prohibited",3
"10191","nintendo",3
"10192","lessen",3
"10193","nominees",3
"10194","revitalization",3
"10195","startups",3
"10196","pedestrian",3
"10197","youthful",3
"10198","hill's",3
"10199","one-of-a-kind",3
"10200","urgency",3
"10201","donors",3
"10202","isle",3
"10203","hernandez",3
"10204","alleges",3
"10205","ravi",3
"10206","charleston",3
"10207","counterpart",3
"10208","diagnostic",3
"10209","season's",3
"10210","lidstrom",3
"10211","rig",3
"10212","standardized",3
"10213","accidental",3
"10214","hitchcock",3
"10215","capt",3
"10216","levine",3
"10217","sandy",3
"10218","somerset",3
"10219","assad",3
"10220","marlon",3
"10221","laurie",3
"10222","region's",3
"10223","pavement",3
"10224","downham",3
"10225","ou",3
"10226","nfl's",3
"10227","defenders",3
"10228","all-metro",3
"10229","touchdowns",3
"10230","tweaked",3
"10231","castro",3
"10232","consulting",3
"10233","animated",3
"10234","alonzo",3
"10235","6-foot-4",3
"10236","beard",3
"10237","weber",3
"10238","dog's",3
"10239","2-0",3
"10240","part-time",3
"10241","6-1",3
"10242","kohler",3
"10243","koschman",3
"10244","amid",3
"10245","waterfront",3
"10246","osu",3
"10247","pac-10",3
"10248","slogans",3
"10249","game's",3
"10250","foothills",3
"10251","reinforced",3
"10252","clinics",3
"10253","martinez",3
"10254","taped",3
"10255","mullins",3
"10256","vermette",3
"10257","injunction",3
"10258","bullpen",3
"10259","johnson's",3
"10260","anonymity",3
"10261","retirees",3
"10262","notified",3
"10263","indy",3
"10264","hanks",3
"10265","reduces",3
"10266","nipple",3
"10267","discharge",3
"10268","at-bats",3
"10269","marched",3
"10270","secrecy",3
"10271","researchers",3
"10272","civilians",3
"10273","bargained",3
"10274","pbs",3
"10275","dominican",3
"10276","justification",3
"10277","pecan",3
"10278","left-handed",3
"10279","overseen",3
"10280","mexico's",3
"10281","payoff",3
"10282","theology",3
"10283","auburn",3
"10284","respects",3
"10285","sussex",3
"10286","marrying",3
"10287","redevelopment",3
"10288","pledged",3
"10289","quarterly",3
"10290","tortilla",3
"10291","rancho",3
"10292","tablespoons",3
"10293","swords",3
"10294","qualifying",3
"10295","chef's",3
"10296","bernard",3
"10297","sg",3
"10298","midway",3
"10299","westwood",3
"10300","scorer",3
"10301","memorable",3
"10302","floyd",3
"10303","enables",3
"10304","otis",3
"10305","semifinal",3
"10306","clubhouse",3
"10307","uninformed",3
"10308","vinaigrette",3
"10309","federally",3
"10310","falcons",3
"10311","scones",3
"10312","bengals",3
"10313","shaq",3
"10314","coached",3
"10315","zumwalt",3
"10316","webster",3
"10317","crippled",3
"10318","broth",3
"10319","ruiz",3
"10320","homicide",3
"10321","obesity",3
"10322","vacant",3
"10323","gary",3
"10324","reed",3
"10325","raymond",3
"10326","chilly",3
"10327","shelby",3
"10328","wheelchair",3
"10329","sergio",3
"10330","3b",3
"10331","mia",3
"10332","twp",3
"10333","recreational",3
"10334","half-dozen",3
"10335","couches",3
"10336","unusually",3
"10337","laughter",3
"10338","bells",3
"10339","deceased",3
"10340","compounds",3
"10341","partnerships",3
"10342","overhaul",3
"10343","high-ranking",3
"10344","automakers",3
"10345","liaison",3
"10346","entrepreneurs",3
"10347","carp",3
"10348","minors",3
"10349","reckless",3
"10350","boosted",3
"10351","willis",3
"10352","memorabilia",3
"10353","thesis",3
"10354","stevie",3
"10355","trailing",3
"10356","laker",3
"10357","brady",3
"10358","attendees",3
"10359","kardashian",3
"10360","parsons",3
"10361","julian",3
"10362","monroe",3
"10363","rodriguez",3
"10364","sawyer",3
"10365","rivalry",3
"10366","rematch",3
"10367","rodney",3
"10368","violation",3
"10369","damaging",3
"10370","t-90",3
"10371","defendant",3
"10372","pavilion",3
"10373","three-pointers",3
"10374","cosmetic",3
"10375","outfielder",3
"10376","bank's",3
"10377","washington's",3
"10378","scripts",3
"10379","clinical",3
"10380","challenger",3
"10381","nguyen",3
"10382","cargo",3
"10383","60s",3
"10384","tenure",3
"10385","latinos",3
"10386","pomegranate",3
"10387","competitions",3
"10388","christie's",3
"10389","ernie",3
"10390","insistence",3
"10391","contends",3
"10392","heidi",3
"10393","molina",3
"10394","sweeney",3
"10395","d-gloucester",3
"10396","kroger",3
"10397","trainers",3
"10398","defenseman",3
"10399","redondo",3
"10400","sgt",3
"10401","guided",3
"10402","disparity",3
"10403","resign",3
"10404","pemex",3
"10405","headquarters",3
"10406","outgoing",3
"10407","materialize",3
"10408","hillel",3
"10409","veto",3
"10410","two-year",3
"10411","goodell",3
"10412","humid",3
"10413","salem",3
"10414","family's",3
"10415","minimize",3
"10416","governing",3
"10417","african-american",3
"10418","crawford",3
"10419","vets",3
"10420","portraits",3
"10421","halls",3
"10422","30-year",3
"10423","first-degree",3
"10424","chad",3
"10425","wasik",3
"10426","discus",3
"10427","lynch",3
"10428","ellington",3
"10429","unveiled",3
"10430","recruiting",3
"10431","borrowing",3
"10432","slid",3
"10433","tournaments",3
"10434","fernandez",3
"10435","exploded",3
"10436","woodward",3
"10437","marquette",3
"10438","o'fallon",3
"10439","reuters",3
"10440","roadway",3
"10441","lapse",3
"10442","subsidies",3
"10443","raced",3
"10444","voter",3
"10445","lenders",3
"10446","theaters",3
"10447","superman",3
"10448","fri",3
"10449","digits",3
"10450","professionally",3
"10451","closes",3
"10452","ref",3
"10453","brazilian",3
"10454","brooks",3
"10455","robertson",3
"10456","buck",3
"10457","corps",3
"10458","yelled",3
"10459","playful",3
"10460","upgraded",3
"10461","ford's",3
"10462","tributes",3
"10463","abbott",3
"10464","pinnacle",3
"10465","kyle",3
"10466","manual",3
"10467","merritt",3
"10468","fritz",3
"10469","transcript",3
"10470","leasing",3
"10471","gateway",3
"10472","terrain",3
"10473","shack",3
"10474","jodi",3
"10475","kidnapping",3
"10476","misleading",3
"10477","aj",3
"10478","lance",3
"10479","undercover",3
"10480","attorney's",3
"10481","menendez",3
"10482","venues",3
"10483","schwarzenegger",3
"10484","delegate",3
"10485","forests",3
"10486","ellis",3
"10487","burke",3
"10488","cu",3
"10489","fairness",3
"10490","comeback",3
"10491","warrant",3
"10492","flemington",3
"10493","infinitely",3
"10494","dam",3
"10495","touted",3
"10496","chapman",3
"10497","shredded",3
"10498","conceded",3
"10499","unpaid",3
"10500","starbucks",3
"10501","irs",3
"10502","golfers",3
"10503","craving",3
"10504","right-to-work",3
"10505","reflects",3
"10506","vegetable",3
"10507","dame",3
"10508","23rd",3
"10509","hanson",3
"10510","vincent",3
"10511","bain",3
"10512","woodbury",3
"10513","manfred",3
"10514","mushrooms",3
"10515","audubon",3
"10516","charter",3
"10517","coors",3
"10518","hors",3
"10519","gravity",3
"10520","honoring",3
"10521","upton",3
"10522","pitches",3
"10523","bosley",3
"10524","shout-out",3
"10525","texted",3
"10526","investigator",3
"10527","packers",3
"10528","downs",3
"10529","kenny",3
"10530","insurer",3
"10531","lamar",3
"10532","exhibits",3
"10533","hamburger",3
"10534","trimet",3
"10535","monday's",3
"10536","redskins",3
"10537","snl",3
"10538","wesley",3
"10539","racketeering",3
"10540","deplete",3
"10541","marlins",3
"10542","cha",3
"10543","marshall",3
"10544","colts",3
"10545","rios",3
"10546","homick",3
"10547","scripps",3
"10548","enact",3
"10549","valdespin",3
"10550","wisely",3
"10551","forfeit",3
"10552","squash",3
"10553","club's",3
"10554","crowley",3
"10555","pageant",3
"10556","strut",3
"10557","bothersome",3
"10558","contacts",3
"10559","braun",3
"10560","celebrezze",3
"10561","slipping",3
"10562","triathlon",3
"10563","five-year",3
"10564","gucci",3
"10565","woodmere",3
"10566","melanin",3
"10567","distributors",3
"10568","raiders",3
"10569","com",3
"10570","titanic",3
"10571","baseman",3
"10572","kuric",3
"10573","snowflake",3
"10574","goodyear",3
"10575","movers",3
"10576","rogers",3
"10577","botox",3
"10578","wholesale",3
"10579","syrian",3
"10580","vargas",3
"10581","bounce",3
"10582","veeck",3
"10583","bedford",3
"10584","wisconsin's",3
"10585","startup",3
"10586","flop",3
"10587","lafayette",3
"10588","trooper",3
"10589","milwaukie",3
"10590","bothers",3
"10591","cultivated",3
"10592","hornets",3
"10593","paramedics",3
"10594","kilroy",3
"10595","hitters",3
"10596","deborah's",3
"10597","bourbon",3
"10598","uggla",3
"10599","radioactive",3
"10600","appropriated",3
"10601","presidio",3
"10602","lohse",3
"10603","mcloone’s",3
"10604","warped",3
"10605","pandora",3
"10606","doritos",3
"10607","abt",3
"10608","fml",3
"10609","muppets",3
"10610","allergies",3
"10611","password",3
"10612","biz",3
"10613","#thevoice",3
"10614","tonights",3
"10615","mixtape",3
"10616","rite",3
"10617","thinkin",3
"10618","okc",3
"10619","#comiccon",3
"10620","proportion",3
"10621","comin",3
"10622","lemonade",3
"10623","ohh",3
"10624","ne",3
"10625","retweeted",3
"10626","hustle",3
"10627","sjsu",3
"10628","lolol",3
"10629","8pm",3
"10630","pre",3
"10631","#teamfollowback",3
"10632","4pm",3
"10633","#baltimore",3
"10634","yur",3
"10635","respectful",3
"10636","dnt",3
"10637","plz",3
"10638","gunna",3
"10639","thirsty",3
"10640","weirdo",3
"10641","wasnt",3
"10642","blanton",3
"10643","yr",3
"10644","bummed",3
"10645","dev",3
"10646","charlottesville",3
"10647","omaha",3
"10648","min",3
"10649","libraries",3
"10650","7pm",3
"10651","stressed",3
"10652","az",3
"10653","marcos",3
"10654","tonite",3
"10655","paprocki",2
"10656","catechist",2
"10657","toolbox",2
"10658","revolve",2
"10659","refresh",2
"10660","percussion",2
"10661","disturb",2
"10662","mirrors",2
"10663","angkor",2
"10664","altars",2
